-0FHUc78Gqo,30.000,40.000,"/m/02w4v,/m/04rlf"
-0SdAVK79lg,30.000,40.000,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
-0Vl4HyWRk8,410.000,420.000,"/m/085jw,/m/0l14l2"
-0mG4W5Hlq8,270.000,280.000,"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt"
-1LrH01Ei1w,30.000,40.000,"/m/02p0sh1,/m/04rlf"
-1TLtjPtnms,10.000,20.000,"/m/03lty,/m/04rlf,/m/07szfh9"
-38Qgsbh7NQ,100.000,110.000,"/m/013y1f,/m/03xq_f"
-3HYdaJyF4U,30.000,40.000,"/m/04rlf,/m/06rqw"
-3pPrlCm6gg,30.000,40.000,/m/01wy6
-4NLarMj4xU,30.000,40.000,"/m/04rlf,/t/dd00034"
-4hZyOdm7EI,200.000,210.000,"/m/015lz1,/m/015vgc"
-5Jlimvsuwo,90.000,100.000,"/m/011k_j,/m/04rlf"
-5f6hjZf9Yw,30.000,40.000,"/m/02w4v,/m/04rlf"
-5xOcMJpTUk,70.000,80.000,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
-6QGvxvaTkI,280.000,290.000,"/m/01p970,/m/026t6,/m/0l14md"
-6krAYK2LLo,30.000,40.000,"/m/04rlf,/m/06j64v,/m/0l14gg"
-6pcgdLfb_A,110.000,120.000,"/m/04rlf,/t/dd00035"
-70MzkgSsHQ,30.000,40.000,"/m/04rlf,/m/04rzd"
-7wUQP6G5EQ,30.000,40.000,"/m/02cjck,/m/02w4v,/m/04rlf"
-7z662AsuTE,380.000,390.000,/m/0mbct
-8H4GKg-mYQ,30.000,40.000,"/m/04rlf,/m/07gxw"
-8fQePz4FcE,30.000,40.000,"/m/04rlf,/m/07xzm,/t/dd00126"
-8wQV7VJnmM,30.000,40.000,"/m/04rlf,/m/04wptg,/t/dd00031"
-BIMKnb3tlo,410.000,420.000,"/m/01p970,/m/026t6,/m/0l14md"
-CUp_Tmg2Y0,30.000,40.000,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md"
-DWRAxaH_RY,300.000,310.000,"/m/04rlf,/m/09x0r,/m/0l156b"
-DYZX74qgFQ,30.000,40.000,"/m/04rlf,/t/dd00032"
-DZMYxyB6L8,40.000,50.000,/m/05lls
-DeAdhYKbGE,290.000,300.000,"/m/0192l,/m/085jw"
-Dj2PfPmynQ,30.000,40.000,"/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004"
-Dtir74TiUM,40.000,50.000,"/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv"
-EDGR1davAc,40.000,50.000,/m/0gy1t2s
-EDhb2m8qhk,30.000,40.000,"/m/01z7dr,/m/04rlf"
-FEPOSP7ay0,260.000,270.000,/m/0395lw
-FFx68qSAuY,190.000,200.000,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-FT5MbWPCzg,540.000,550.000,/m/03w41f
-FVBrg2qeIA,90.000,100.000,"/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y"
-FlvaZQOr2I,90.000,100.000,"/m/04rlf,/t/dd00037"
-Fn3Ze8xVOE,210.000,220.000,"/m/05w3f,/m/0dl5d"
-HlS6jz-f0I,170.000,180.000,"/m/04rlf,/m/0dq0md"
-HnNrGtKXp4,30.000,40.000,"/m/04rlf,/m/0m0jc"
-J0H5ah1G7A,30.000,40.000,"/m/025td0t,/m/04rlf"
-JVWfFPBl84,330.000,340.000,/m/0l14t7
-JfpacjZWyw,30.000,40.000,/m/01c194
